Titel;Auteur;Plaatsing;Plaatsing omschrijving;Pl.Opmerking;Zizo Jeugd;Prijs;Jaargang;Genre Jeugd;Hoofdwoord;Exemplaar;Exem-id;Magazijn;Materiaal;Min. leeftijd;Status;Bijlage;Categorie
Berta Gobelijn;Nys, Jef;SJA;Strips jeugd 6-8 jaar;Jommeke;;3.72;    ;;;NA0846759;3228310;N;S4;0;U;;4
Best of : een file van flaters;Franquin, André;SJB;Strips jeugd 9-11 jaar;Guust;;3.50;;;;NA046354X;2704367;N;S4;0;B;;4
Beste maatjes;Verron, Laurent;SJB;Strips jeugd 9-11 jaar;Bollie en Billie;;5.25;    ;;;NA0685267;3942374;N;S4;0;B;;4
Bestemming;Gordon, Roderick;JFC;Jeugd fictie 12-14 jaar blauw;GORD;;17.95;;;;NA0841188;5036828;N;B4;0;B;;4
Bestemming;Noël, Alyson;YF0;Adolescenten;NOEL;;16.95;;;;PI0609528;4706885;N;BA;0;A;;4
Bestemming;Smith, L.J;YF0;Jongeren fictie grijs;SMIT;;18.95;;;;NA0825158;4869811;N;BA;0;A;;4
Bestemming onbekend;Mosier, Paul;JFC;Jeugd fictie 12-14 jaar;MOSI;;14.95;;;;3,00E+13;6073675;N;B4;0;B;;4
Bestemming: de ruimte;Englert, Christoph;JII;Jeugd info: aarde - heelal;;AASTE;15.99;;;;3,00E+13;14495214;N;B5;0;B;;5
Besties, boys en belangrijke bijzaken;Dumitru, Tess;JIN;Jeugd info: dagelijks leven;;DADAG;16.50;;;;NA111526X;6233614;N;B5;0;B;;5
Bethany en het beest;Meggitt-Phillips, Jack;JFB;Jeugd fictie 9-11 jaar;;;16.99;;;MEGG;3,00E+13;14483643;N;B4;0;B;;4
Bethany en het beest;Meggitt-Phillips, Jack;JFB;Jeugd fictie 9-11 jaar rood;;;16.99;;;MEGG;3,00E+13;14510819;N;B4;0;B;;4
Betoverd;Garcia, Kami;YF0;Jongeren fictie grijs;GARC;;0.00;;;;NA0720879;4068047;N;BA;0;B;;4
Betoveringen;Gilson;SJB;Strips jeugd 9-11 jaar;Melisande;;4.20;    ;;;NA040053X;3886179;N;S4;0;B;;4
Betrapt!;Bon, Annemarie;JFB;Jeugd fictie 9-11 jaar;BON;;0.00;;;;PI0364223;2931266;N;B4;0;B;;4
Better than the movies;Painter, Lynn;YF0;Jongeren fictie grijs;;;16.99;;;PAIN;3,00E+13;31903411;N;B4;0;U;;4
Between : over de doden niets dan goeds. Toch?;Warman, Jessica;YF0;Jongeren fictie grijs;WARM;;18.99;;;;NA075997X;4571268;N;BA;0;B;;4
Beverly Hills Chihuahua 3 : laat het feest beginnen;Spiro, Lev L.;FSJ;Speelfilms jeugd;BEVE;;10.75;;;;NA1090313;4745871;N;D4;0;A;;2
Beverly Hills Chihuahua 3 : laat het feest beginnen;Spiro, Lev L.;FSJ;Speelfilms jeugd;BEVE;;20.71;;;;NA0911526;4745870;N;D4;0;A;;2
Bevers;Grack, Rachel;JIH;Jeugd info: natuur;;NAKNA;16.00;;;;3,00E+13;26867615;N;B5;0;B;;5
Bevers;Grack, Rachel;JIH;Jeugd info: natuur;6+ - geel;NAKNA;16.00;;;;3,00E+13;27987477;N;B5;0;U;;4
Bevers;Mara, Wil;JIH;Jeugd info: natuur;;NAKNA;16.00;;;;PI0515361;3916458;N;B5;0;B;;5
Bevers;Mara, Wil;JIH;Jeugd info: natuur;;NAKNA;16.00;    ;;;3,00E+13;26727937;N;B5;0;B;;5
Bevers;Mara, Wil;JIH;Jeugd info: natuur;9+ - rood;NAKNA;16.00;    ;;;NA0716499;3916456;N;B5;0;B;;5
Bevers;Tracqui, Valérie;JIH;Jeugd info: natuur;;NAKNA;9.95;;;;PI056608X;4256684;N;B5;0;B;;5
Bevolking;Howell, Izzi;JIN;Jeugd info: dagelijks leven;;DASAM;14.00;;;;PI0837539;6301878;N;B5;0;B;;5
Bevolking;Oxlade, Chris;JIN;Jeugd info: dagelijks leven;;DAMAA;14.00;;;;NA0983888;5387604;N;B5;0;B;;5
Bevolking;Oxlade, Chris;JIN;Jeugd info: dagelijks leven;;DASAM;11.00;;;;3,00E+13;5387605;N;B5;0;B;;5
Bevolkingsgroei;Steele, Philip;JIN;Jeugd info: dagelijks leven;;DASAM;14.50;;;;PI0539619;3421758;N;B5;0;A;;5
Bevrijd;McCulloch, Amy;YF0;Jongeren fictie grijs;;;19.99;;SCI;MCCU;3,00E+13;13240205;N;B4;0;B;;4
Bevroren kamers;De Leeuw, Jan;YF0;Jongeren fictie grijs;LEEU;;15.95;;;;NA070041X;3793333;N;BA;0;B;;4
Bevroren nacht;Raasch, Sara;YF0;Adolescenten;RAAS;;17.99;;;;PI0793787;5928901;N;BA;0;B;;4
Bevroren nacht;Raasch, Sara;YF0;Jongeren fictie grijs;RAAS;;17.99;;;;NA1156624;5928898;N;BA;0;U;;4
Bevroren planeet;Stewart-Sharpe, Leisa;JIH;Jeugd info: natuur;9+ - rood;NADIE;16.99;;;;3,00E+13;28090693;N;B5;0;B;;5
Bewegen en ontspannen op muziek : uitgewerkte bewegingsspelletjes;Schneider, Monika;JIO;Jeugd info: vrije tijd - kunst;;VRDAN;14.50;;;;3,00E+13;5038633;N;B5;0;B;;5
Bezoekjaren;Van Leeuwen, Joke;JFB;Jeugd fictie 9-11 jaar;LEEU;;0.00;;;;PI0148288;6435717;N;B4;0;B;;4
BFF's puur natuur;Cazenove, Christophe;SJB;Strips jeugd 9-11 jaar;Bff's;;6.95;    ;;;3,00E+13;26886021;N;S4;0;U;;4
BFF's puur natuur;Cazenove, Christophe;SJB;Strips jeugd 9-11 jaar;Bff's;;6.95;    ;;;3,00E+13;26886008;N;S4;0;U;;4
BFF's voor even : avonturen van een niet-zo-vriendelijke vriendin;Russell, Rachel Renée;JFB;Jeugd fictie 9-11 jaar;RUSS;;14.99;;;;PI0792985;5978887;N;B4;0;B;;4
BFF's voor even : avonturen van een niet-zo-vriendelijke vriendin;Russell, Rachel Renée;JFB;Jeugd fictie 9-11 jaar rood;;;14.99;;;RUSS;3,00E+13;32068052;N;B4;0;F;;4
BFF's voor even : avonturen van een niet-zo-vriendelijke vriendin;Russell, Rachel Renée;JFB;Jeugd fictie 9-11 jaar rood;RUSS;;14.99;;;;NA1156810;5978884;N;B4;0;U;;4
Biba;Batem;SJA;Strips jeugd 6-8 jaar;Marsupilami;;7.50;    ;;;NA0896470;5362892;N;S4;0;U;;4
Bibbergoud;Vandersteen, Willy;SJB;Strips jeugd 9-11 jaar;Suske en Wiske;;5.95;;;;NA0927724;4490763;N;S4;0;U;;4
Bibbervlees : bangelijke gedichten voor koelbloedige kinderen;Jacobs, Karin;JP0;Jeugd poëzie;;;19.99;;;JACO;3,00E+13;7648289;N;B4;0;B;;4
Bibi & Tina;Buck, Detlev;FSJ;Speelfilms jeugd;;;0.00;    ;;BIBI;3,00E+13;6826405;N;D4;0;B;;4
Bibi & Tina 2 : liefde en diefstal op de manege;Buck, Detlev;FSJ;Speelfilms jeugd;;;0.00;    ;;BIBI;3,00E+13;6826381;N;D4;0;B;;4
Bibi & Tina 3 : jongens tegen de meiden;Buck, Detlev;FSJ;Speelfilms jeugd;;;16.56;    ;;BIBI;3,00E+13;6826411;N;D4;6;B;;4
Bibi & Tina 4 : chaos op Falkenstein;Buck, Detlev;FSJ;Speelfilms jeugd;;;0.00;    ;;BIBI;3,00E+13;6826418;N;D4;6;B;;4
Bibi Carmen;Leemans, Hec;SJB;Strips jeugd 9-11 jaar;FC De Kampioenen;;6.50;    ;;;NA1120921;6307507;N;S4;0;U;;4
Bibi Carmen;Leemans, Hec;SJB;Strips jeugd 9-11 jaar;FC De Kampioenen;;6.50;    ;;;NA112093X;6307508;N;S4;0;U;;4
Bibi xtra;Cazemier, Caja;JFC;Jeugd fictie 12-14 jaar;CAZE;;13.95;;;;PI0595454;4574844;N;B4;0;B;;4
Bibliotheek der zielen;Riggs, Ransom;YF0;Adolescenten;RIGG;;21.95;;;;PI0714739;5537572;N;B2;0;B;;4
Bibliotheek der zielen;Riggs, Ransom;YF0;Jongeren fictie grijs;;;21.95;    ;;RIGG;NA103216X;5537569;N;BA;0;B;;4
Bidsprinkhanen;Hudak, Heather C;JIH;Jeugd info: natuur;;NAINS;11.00;;;;PI0625728;4774720;N;B5;0;B;;5
Bie en de superbijen;Legendre, Marc;SJA;Strips jeugd 6-8 jaar;Jommeke;;7.99;    ;;;3,00E+13;29808716;N;S4;0;U;;4
Bie en de superbijen;Legendre, Marc;SJA;Strips jeugd 6-8 jaar;Jommeke;;7.99;    ;;;3,00E+13;29808406;N;S4;0;U;;4
Bieb op stelten!;Dekker, Femke;JFA;Jeugd fictie 7-8 jaar geel;;;15.99;;;DEKK;3,00E+13;24345890;N;B4;0;B;;4
Biecht in up-tempo;Tome;SJB;Strips jeugd 9-11 jaar;Soda;;0.00;    ;;;NA004024X;3332184;N;S4;0;B;;4
Bienvenido a Bingo;Batem;SJA;Strips jeugd 6-8 jaar;Marsupilami;;7.95;    ;;;NA1177206;6357148;N;S4;0;B;;4
Bies van Ede vertelt Het vreemde verhaal van dr. Jekyll & de heer;Van Ede, Bies;YF0;Adolescenten;;;19.99;;;EDE;3,00E+13;7109524;N;B4;0;B;;4
Bies van Ede vertelt Het vreemde verhaal van dr. Jekyll & de heer;Van Ede, Bies;YF0;Jongeren fictie grijs;;;19.99;;GRI;VANE;3,00E+13;17445874;N;B4;0;B;;4
Biezel;Heesen, Martha;JFC;Jeugd fictie 12-14 jaar;HEES;;14.99;;;;PI0672408;5208236;N;B4;0;B;;4
Big hero 6;;JM0;Jeugd makkelijk lezen;DISN;;14.50;    ;;;PI0840122;6310504;N;B4;0;B;;4
Big hero 6;;JMA;Jeugd makkelijk lezen 6-8 j;;;14.50;    ;;;NA1120409;6310502;N;B4;0;B;;4
Big hero 6;Hall, Don;FSJ;Speelfilms jeugd;BIG;;15.99;;;;NA096719X;5424727;N;D4;6;A;;2
Big hero 6;Hall, Don;FSJ;Speelfilms jeugd;BIG 6;;16.94;    ;;;3,00E+13;17836532;N;D4;6;U;;4
Big mother;Geerts, Paul;SJB;Strips jeugd 9-11 jaar;Suske en Wiske;;3.60;;;;NA0945277;6707114;N;S4;0;U;;4
Big trip;Rovenskiy, Vasiliy;FSJ;Speelfilms jeugd;;;14.88;;;BIGT;3,00E+13;14670237;N;D4;6;B;;4
Big trip;Rovenskiy, Vasiliy;FSJ;Speelfilms jeugd;;;23.23;    ;;BIG;3,00E+13;14551984;N;D4;6;B;;4
Big trip 2 : een beregoed avontuur;Rovenskiy, Vasiliy;FSJ;Speelfilms jeugd;;;18.63;    ;;BIG;3,00E+13;27969535;N;D4;6;B;;4
Bigfoot family;Stassen, Ben;FSJ;Speelfilms jeugd;;;22.32;    ;;BIGF;3,00E+13;26779144;N;D4;6;U;;4
Bigfoot junior;Degruson, Jérémie;FSJ;Speelfilms jeugd;;;15.95;    ;;BIGF;3,00E+13;17398815;N;D4;6;B;;4
Biggles alias W.E. Johns : het album van het eeuwfeest;Melliès, Roger;SJB;Strips jeugd 9-11 jaar;Biggles;;9.79;    ;;;NA0576050;2820760;N;S4;0;B;;4
"Biggles contra Dr. Zanchu ; Biggles contra Von Stalhein ; Biggles";Embleton, Ron;SJB;Strips jeugd 9-11 jaar;Biggles;;12.50;    ;;;NA0576166;2869354;N;S4;0;B;;4
Biggles en de slaven van de Mongool;Melliès, Roger;SJB;Strips jeugd 9-11 jaar;Biggles;;9.95;    ;;;NA0600628;3268379;N;S4;0;B;;4
Bij;Hartley, Karen;JIH;Jeugd info: natuur;;NAINS;9.50;;;;PI050386X;3812960;N;B5;0;B;;5
Bij blauw denk ik aan jou;Vlasman, Joop;YF0;Jongeren fictie grijs;VLAS;;13.95;;;;NA0775576;4420679;N;BA;0;A;;4
Bij de beesten af : het liefdesleven van dieren;Von der Gathen, Katharina;JIH;Jeugd info: natuur;9+ - rood;NAGED;17.99;;;;NA110697X;6162660;N;B5;0;B;;5
Bij de bergredders;Oxlade, Chris;JIN;Jeugd info: dagelijks leven;;DAPOL;13.95;;;;PI0738867;5516703;N;B5;0;B;;5
Bij de Gallo-Romeinen;Coulon, Gérard;JIK;Jeugd info: geschiedenis;;GEGRI;0.00;;;;PI0395927;3084033;N;B5;0;B;;5
Bij de indianen;Piquemal, Michel;JIJ;Jeugd info: landen;;LAIND;0.00;;;;PI0378208;2997728;N;B5;0;B;;5
Bij de redders op zee;Oxlade, Chris;JIN;Jeugd info: dagelijks leven;;DAPOL;13.95;;;;PI0738859;5516682;N;B5;0;B;;5
Bij het Groot Berenmeer;Hunter, Erin;JFB;Jeugd fictie 9-11 jaar;HUNT;;14.99;;;;PI067222X;5136007;N;B4;0;B;;4
Bij het Groot Berenmeer;Hunter, Erin;JFB;Jeugd fictie 9-11 jaar rood;HUNT;;14.99;;;;NA0868744;5136004;N;B4;0;U;;4
Bij Sjoeke en Sjoeke;Leemans, Hec;SJB;Strips jeugd 9-11 jaar;FC De Kampioenen;;4.10;    ;;;NA054213X;4087373;N;S4;0;U;;4
Bij sjoeke en sjoeke;Leemans, Hec;SJB;Strips jeugd 9-11 jaar;FC De Kampioenen;;5.99;    ;;;NA1156276;5634993;N;S4;0;U;;4
Bij Uil thuis en andere verhalen;Lobel, Arnold;JFA;Jeugd fictie 7-8 jaar geel;LOBE;;24.99;;;;NA0956058;5228500;N;B4;0;B;;4
Bij verdiensten;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;0.00;    ;;;NA0815608;4180557;N;S4;0;B;;4
Bij verdiensten;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;4.50;    ;;;NA062747X;4180556;N;S4;0;U;;4
Bij verdiensten;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;5.95;    ;;;NA1156063;4230255;N;S4;0;U;;4
Bij verdiensten;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;6.99;    ;;;3,00E+13;17177396;N;S4;0;B;;4
Bijbel : verhalen uit het Oude Testament;De Bruyn, Sassafras;JIL;Jeugd info: geloven - denken;9+ - rood;DEBIJ;24.99;    ;;;NA1049100;6001853;N;B5;0;B;;5
Bijen;Jango-Cohen, Judith;JIH;Jeugd info: natuur;;NAINS;16.00;;;;PI0631515;3955310;N;B5;0;B;;5
Bijen;Jango-Cohen, Judith;JIH;Jeugd info: natuur;9+ - rood;NAINS;16.00;    ;;;3,00E+13;26728154;N;B5;0;B;;5
Bijen;Quigley, Andrea;JIH;Jeugd info: natuur;9+ - rood;NAINS;10.99;;;;NA1056425;6311044;N;B5;0;B;;5
Bijen;Remaut, Bruno;JIH;Jeugd info: natuur;;NAINS;14.95;;;;PI0717959;5425021;N;B5;0;B;;5
Bijen;Starosta, Paul;JIH;Jeugd info: natuur;;NAINS;0.00;;;;PI0373680;2962040;N;B5;0;B;;5
Bijen en wespen;Morgan, Sally;JIH;Jeugd info: natuur;;NAINS;0.00;;;;NA0619604;3357475;N;B5;0;B;;5
Bijenboek;Milner, Charlotte;JIH;Jeugd info: natuur;;NAINS;14.99;;;;PI0836826;6288089;N;B5;0;B;;5
Bijenboek;Milner, Charlotte;JIH;Jeugd info: natuur;9+ - rood;NAINS;11.31;;;;NA1117572;6288087;N;B4;0;B;;5
Bijenvader;Sprikkelman, Esther;YF0;Adolescenten;SPRI;;14.95;;;;PI0765775;5813062;N;BA;0;A;;4
Bijgeloof;Gilson;SJB;Strips jeugd 9-11 jaar;Melisande;;4.50;    ;;;NA0514500;3131904;N;S4;0;B;;4
Bijna alle sleutels;Van de Vendel, Edward;JP0;Jeugd poëzie;VEND;;0.00;;;;PI0200727;2795324;N;B5;0;B;;4
Bijna beroemd;Carney, Jen;JFA;Jeugd fictie 7-8 jaar geel;;;15.99;;;CARN;3,00E+13;25605329;N;B4;0;B;;4
Bijna iedereen kon omvallen;Tellegen, Toon;JFB;Jeugd fictie 9-11 jaar rood;TELL;;8.95;;;;NA0630721;3427970;N;B4;0;B;;4
Bijzonder beroerde bouwers;Connolly, Sean;JIN;Jeugd info: dagelijks leven;;DAGEB;15.50;;;;3,00E+13;25451798;N;B5;0;B;;5
Bijzondere beesten;Bailey, Jacqui;JIH;Jeugd info: natuur;9+ - rood;NADIE;0.00;    ;;;NA0668567;3749055;N;B5;0;B;;5
Bijzondere bouwsels;Douglas, Jozua;JIK;Jeugd info: geschiedenis;;GEGES;15.95;;;;PI0753092;5671291;N;B4;0;B;;4
Bijzondere vertelsels;Riggs, Ransom;YF0;Adolescenten;RIGG;;19.95;;;;PI0771368;5827443;N;BA;0;U;;4
Bijzondere vertelsels;Riggs, Ransom;YF0;Jongeren fictie grijs;RIGG;;19.95;;;;NA1146130;5827440;N;BA;0;U;;4
Billie apporteert als de beste!;Cazenove, Christophe;SJB;Strips jeugd 9-11 jaar;Bollie en Billie;;6.95;;;;NA114149X;5804565;N;S4;0;B;;4
Billie Eilish : van E-girl tot idool;Besley, Adrian;JIO;Jeugd info: vrije tijd - kunst;;VRPOM;15.99;;;BESL;3,00E+13;13174200;N;B5;0;B;;5
Billie en Karo voor het leven;Cazenove, Christophe;SJB;Strips jeugd 9-11 jaar;Bollie en Billie;;7.50;    ;;;3,00E+13;14751557;N;S4;0;U;;4
Billie en zijn genen : over jou & DNA;Boonen, Stefan;JIM;Jeugd info: mens;;MELAM;17.50;    ;;;3,00E+13;17483948;N;B5;0;B;;5
Billie en zijn genen : over jou & DNA;Boonen, Stefan;JIM;Jeugd info: mens;;MELIC;17.50;;;;3,00E+13;17447915;N;B5;0;B;;5
Billie is 't beu!;Roba;SJB;Strips jeugd 9-11 jaar;Bollie en Billie;;2.45;    ;;;NA0398969;2751271;N;S4;0;B;;4
Billie komt er altijd onderuit;Cazenove, Christophe;SJB;Strips jeugd 9-11 jaar;Bollie en Billie;;8.50;    ;;;3,00E+13;28108277;N;S4;0;B;;4
Billie losbollie;Roba;SJB;Strips jeugd 9-11 jaar;Bollie en Billie;;0.00;    ;;;NA0322350;2751371;N;S4;0;B;;4
Billie zet 'n boompje op;Verron, Laurent;SJB;Strips jeugd 9-11 jaar;Bollie en Billie;;5.25;    ;;;NA062053X;3431700;N;S4;0;B;;4
Billie! Potdorie!;Roba;SJB;Strips jeugd 9-11 jaar;Bollie en Billie;;2.45;    ;;;NA0398950;2751292;N;S4;0;B;;4
Billie's bal;Roba;SJB;Strips jeugd 9-11 jaar;Bollie en Billie;;2.45;    ;;;NA0398853;2751249;N;S4;0;B;;4
Billies biljoen;Roba;SJB;Strips jeugd 9-11 jaar;Bollie en Billie;;0.00;    ;;;NA0322377;2760607;N;S4;0;B;;4
Billy Elliot;Burgess, Melvin;JFC;Jeugd fictie 12-14 jaar blauw;BURG;;12.50;    ;;;NA0431958;6734314;N;B4;0;A;;4
Billy en de grandioze ontsnapping;Oliver, Jamie;JFB;Jeugd fictie 9-11 jaar;;;21.99;;;OLIV;3,00E+13;30608305;N;B4;0;B;;4
Billy en de grandioze ontsnapping;Oliver, Jamie;JFB;Jeugd fictie 9-11 jaar rood;;;21.99;;;OLIV;3,00E+13;30574219;N;B4;0;U;;4
Billy en het reuzenavontuur;Oliver, Jamie;JFB;Jeugd fictie 9-11 jaar;;;21.99;;;OLIV;3,00E+13;28906484;N;B4;0;U;;4
Billy en het reuzenavontuur;Oliver, Jamie;JFB;Jeugd fictie 9-11 jaar rood;;;21.99;;;OLIV;3,00E+13;29038153;N;B4;0;B;;4
Billy the Kid;Goscinny, René;SJB;Strips jeugd 9-11 jaar;Lucky Luke;;0.00;    ;;;NA001026X;6416631;N;S4;0;B;;4
Billy the Kid & de sheriff;Goeminne, Siska;JFA;Jeugd fictie 7-8 jaar geel;GOEM;;19.99;;;;NA0952141;4723228;N;B4;0;B;;4
Bindvliesontsteking;Landau, Elaine;JIM;Jeugd info: mens;;MEZIE;12.00;;;;PI0584797;4460532;N;B5;0;B;;5
Bing;;FSJ;Speelfilms jeugd;;;13.99;;;BING;3,00E+13;27808591;N;D4;0;B;;4
Bing;;FSJ;Speelfilms jeugd;;;13.99;;;BING;3,00E+13;28169662;N;D4;0;B;;4
Bing;;FSJ;Speelfilms jeugd;;;13.99;;;BING;3,00E+13;28061572;N;D4;0;B;;4
Bing Bong;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;0.00;    ;;;NA0799742;4648838;N;S4;0;B;;4
Bing Bong;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;2.50;    ;;;NA0846007;2986873;N;S4;0;U;;4
Bingo, baby!;Nix;SJB;Strips jeugd 9-11 jaar;Buurtpolitie;;6.50;    ;;;NA1110586;6225436;N;S4;0;U;;4
Bingo, baby!;Nix;SJB;Strips jeugd 9-11 jaar;Buurtpolitie;;6.50;    ;;;NA1110594;6225437;N;S4;0;B;;4
Bings dierenverhalen;;FSJ;Speelfilms jeugd;;;13.25;    ;;BING;3,00E+13;23043162;N;D4;0;B;;4
Bings kerstfeest : en andere verhalen;;FSJ;Speelfilms jeugd;;;13.99;;;BING;3,00E+13;23043172;N;D4;0;B;;4
Bings kerstfeest : en andere verhalen;;FSJ;Speelfilms jeugd;;;8.81;;;BING;3,00E+13;24221312;N;D4;0;B;;4
Binnenstebuiten;;JFA;Jeugd fictie 7-8 jaar geel;BINN;;12.99;;;;NA110098X;6175626;N;B4;0;U;;4
Binti : ik vlog dus ik besta!;Migom, Frederike;FSJ;Speelfilms jeugd;;;10.59;;;BINT;3,00E+13;14682373;N;D4;6;B;;4
Biologie;Mason, Paul;JIH;Jeugd info: natuur;9+ - rood;NANAT;18.00;;;;3,00E+13;30993767;N;B5;0;B;;5
Biologie en evolutie : van mensen en dieren;Parsons, Jayne;JIH;Jeugd info: natuur;12+ - blauw;NADIE;0.00;    ;;;NA0318906;2814216;N;B5;0;B;;5
Biomen;Howell, Izzi;JIH;Jeugd info: natuur;;NANAT;14.00;;;;NA1176196;6364708;N;B5;0;B;;5
Birdie;Van den Broeck, Laure;YF0;Jongeren fictie grijs;VAND;;16.99;;;;NA0843245;4514353;N;BA;0;B;;4
Birthday : een verjaardag, twee vrienden, zes jaar;Russo, Meredith;YF0;Jongeren fictie grijs;;;19.99;;;RUSS;3,00E+13;7618317;N;B4;0;B;;4
Bisjou;Didelez, Guy;JFB;Jeugd fictie 9-11 jaar;DIDE;;11.50;;;;PI0589330;4492831;N;B4;0;B;;4
Bisjou;Didelez, Guy;JFB;Jeugd fictie 9-11 jaar rood;DIDE;;13.50;;;;NA0948403;4492827;N;B4;0;B;;4
Bistro Dodo;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboe;;5.95;    ;;;3,00E+13;32099173;N;S4;0;B;;4
Bistro Dodo;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;5.95;    ;;;NA0838659;4887940;N;S4;0;B;;4
Bistro Dodo;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;5.95;    ;;;NA0874698;4887939;N;S4;0;A;;4
Bitterblauw;Cashore, Kristin;YF0;Jongeren fictie grijs;CASH;;18.95;;;;NA080245X;4751420;N;BA;0;B;;4
Bittersweet sixteen;Verheyen, Jan;FSJ;Speelfilms jeugd;;;18.99;;;BITT;3,00E+13;27930703;N;D4;12;U;;4
Bizar;Kuyper, Sjoerd;JFC;Jeugd fictie 12-14 jaar blauw;;;15.95;;;KUYP;3,00E+13;7729422;N;B4;0;B;;4
Bizons;Perry, Phyllis J.;JIH;Jeugd info: natuur;;NAZOO;16.00;;;;PI0514683;3841872;N;B5;0;B;;5
Bizons;Perry, Phyllis J.;JIH;Jeugd info: natuur;9+ - rood;NAZEZ;16.00;;;;3,00E+13;26728339;N;B5;0;B;;5
Björn : zes berenverhalen;Perret, Delphine;JFA;Jeugd fictie 7-8 jaar geel;PERR;;13.99;;;;NA111400X;6082635;N;B4;0;B;;4
Blaadjesboek;Kouwen, Maartje;JIH;Jeugd info: natuur;6+ - geel;NABOM;14.99;;;;3,00E+13;31520742;N;B5;0;B;;5
Black;Bracke, Dirk;YF0;Adolescenten;;;0.00;;;BRAC;3,00E+13;29180841;N;BA;0;B;;4
Black;Bracke, Dirk;YF0;Adolescenten;BRAC;;0.00;;;;PI0433195;3292067;N;BA;0;A;N;4
Black;Bracke, Dirk;YF0;Jongeren fictie grijs;BRAC;;15.95;;;;NA0591548;3292060;N;BA;0;B;;4
Black + Back;Bracke, Dirk;YF0;Jongeren fictie grijs;BRAC;;0.00;;;;NA1021915;5524335;N;BA;0;B;;4
Black bag job;Bourgne, Marc;SJC;Strips jeugd 12-14 jaar;Frank Lincoln;;7.95;    ;;;NA0958883;5280780;N;S4;0;B;;4
Black Beauty;Sewell, Anna;FSJ;Speelfilms jeugd;BLAC;;0.00;;;;NA0926361;4311606;N;D4;0;B;;3
Black Beauty;Sewell, Anna;FSJ;Speelfilms jeugd;BLAC;;0.00;;;;NA092637X;4311607;N;D4;0;B;;3
Black beauty;Sewell, Anna;JFC;Jeugd fictie 12-14 jaar;;;15.00;;;SEWE;3,00E+13;17828031;N;B4;0;B;;4
Black box;Woltz, Anna;YF0;Adolescenten;WOLT;;0.00;;;;3,00E+13;3438236;N;BA;0;B;;4
Black box;Woltz, Anna;YF0;Jongeren fictie grijs;WOLT;;14.95;;;;NA0908932;3438234;N;BA;0;B;;4
Black e-mail;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;0.00;    ;;;NA0815365;4179486;N;S4;0;U;;4
Black flag;Bowden, Oliver;YF0;Adolescenten;BOWD;;19.95;;;;PI0655457;5031771;N;BA;0;A;;4
Black flag;Bowden, Oliver;YF0;Jongeren fictie grijs;BOWD;;19.95;;;;NA0930768;5031768;N;BA;0;B;;4
Black Friday;Stoffels, Maren;YF0;Adolescenten;;;14.99;;;STOF;3,00E+13;14090604;N;BA;0;B;;4
Black Friday;Stoffels, Maren;YF0;Jongeren fictie grijs;;;14.99;;THR;STOF;3,00E+13;14409697;N;B4;0;B;;4
Black program;Bollée, Laurent-Frédéric;SJC;Strips jeugd 12-14 jaar;Bruno Brazil;;7.95;    ;;;3,00E+13;14614499;N;S4;0;U;;4
Black program;Bollée, Laurent-Frédéric;SJC;Strips jeugd 12-14 jaar;Bruno Brazil;;8.50;    ;;;3,00E+13;14614481;N;S4;0;U;;4
Black requiem;Morjaeu, Luc;SJB;Strips jeugd 9-11 jaar;Sabbatini;;5.50;    ;;;NA0604992;3349832;N;S4;0;B;;4
Black-out;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;0.00;    ;;;NA0815187;4648514;N;S4;0;U;;4
Black-out;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;6.95;    ;;;3,00E+13;14629265;N;S4;0;B;;4
Blackie wil naar de maan;;FSJ;Speelfilms jeugd;BLAC;;13.95;;;;PI0732052;5359026;N;D4;0;B;;4
Blackmail;Meijer, Cis;JFC;Jeugd fictie 12-14 jaar;;;15.99;;;MEIJ;3,00E+13;17803376;N;B4;0;B;;4
Blackmail;Meijer, Cis;JFC;Jeugd fictie 12-14 jaar blauw;;;15.99;;;MEIJ;3,00E+13;21607645;N;B4;0;U;;4
Bladluizen;Perish, Patrick;JIH;Jeugd info: natuur;;NAINS;14.00;;;;3,00E+13;6837749;N;B5;0;B;;5
Blauw;Pool, Joyce;JFC;Jeugd fictie 12-14 jaar blauw;POOL;;12.95;;;;NA0556017;2971068;N;B4;0;B;;4
Blauw bloed bij de blauwen;Cauvin, Raoul;SJB;Strips jeugd 9-11 jaar;Blauwbloezen;;6.50;    ;;;NA0714925;3908676;N;S4;0;B;;4
Blauw en uniformen;Cauvin, Raoul;SJB;Strips jeugd 9-11 jaar;Blauwbloezen;;4.19;    ;;;NA0400777;6443245;N;S4;0;B;;4
